,"Page ID",Class,Abstract,ServiceType,TrajectID,Jaar,VlocaSessie,Draaiboek,Deliverable,Actoren,Organisatie,Organisaties,Standaard,Status,SmartCityDomein,SmartCityIndicator,Beleidsthema,Initiatief,InitiatiefLink,Website,VlocaTraject,SessieType,ArchitectuurComponent,ArchitectuurBouwlaag,TypeDeliverable,TypeNieuws,Datum,Tijd,Locatie,Versie
E-Hubs,737,Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EIRA (European Interoperability Reference Architecture)",362,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EVENTMACHIEN - Pepingen","1,668",Initiatief,,,,,,,,,"Gemeente Pepingen",,,,,,,,,,,,,,,,,,,
"Economisch Huis Oostende","1,713",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecosysteem,695,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edge,563,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Een digitale innovatietrack ter ondersteuning van een leefbare en bruisende universiteitsbuurt – Antwerpen (welzijn)","1,681",Initiatief,,,,,,,,,"Stad Antwerpen",,,,,,,,,,,,,,,,,,,
Effectiviteitsprincipes,"1,037",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energie Management Systeem – datagedreven optimalisering energieverbruik in steden EMS DOE","1,721",Initiatief,,,,,,,,,"Stad Kortrijk",,,,,,,,,,,,,,,,,,,
"English Speaking",334,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europa - Digital Single Market",483,Organisatie,,,,,,,,,,,,,,,,,,Https://digital-strategy.ec.europa.eu/en,,,,,,,,,,
"European Committee for Standardization (CEN)",722,Organisatie,,,,,,,,,,,,,,,,,,Https://www.cencenelec.eu/,,,,,,,,,,
"European Interoperability Framework (EIF)",285,Organisatie,,,,,,,,,,,,,,,,,,Https://joinup.ec.europa.eu/collection/nifo-national-interoperability-framework-observatory/european-interoperability-framework-detail,,,,,,,,,,
"Europees Telecommunicatie en Standaardisatie Instituut (ETSI)",724,Organisatie,,,,,,,,,,,,,,,,,,Https://www.etsi.org/,,,,,,,,,,
"Europese Interoperabiliteitsarchitectuur (EIRA)",290,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Evaluatie van sensoren","1,016",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Draaiboek:Evidence-based Decision Making","1,186",Draaiboek,,,,,,,,Overheden,IMEC,,,,"Smart Governance",,,,,,"VlocaTraject:Local Digital Twin",,,,,,,,,
"File:Evidence-based Decision Making 0.rtb","1,595",File,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIWARE,272,Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fair data",700,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Finland - Digital Twin","1,138",Organisatie,,,,,,,,,,,,,,,,,,Https://www.hel.fi/helsinki/en/administration/information/general/3d/potential-uses/,,,,,,,,,,
ArchitectuurComponent:Firewall,972,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Five star open data",579,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Floating Car Data",507,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoCreatieAanvraag:Flood4Cast,"1,080",CoCreatieAanvraag,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
VlocaTraject:Flood4Cast,"1,267",VlocaTraject,,Ondersteuning,,,,,,,,Hydroscan,,,"Smart Government,Smart Environment",,,,,Https://www.hydroscan.eu/nl/flood4cast,,,,,,,,,,
GAIA-X,398,Initiatief,,,,,,,,,,,,,,,,,,Https://www.gaia-x.eu/,,,,,,,,,,
"GAIA-X technische architectuur",680,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geaggregeerde data",713,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geanonimiseerde data",712,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geconnecteerde openbare verlichting op fietspaden - Mechelen","1,646",Initiatief,,,,,,,,,Mechelen,,,,,,,,,,,,,,,,,,,
Boechout,"1,278",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Edegem","1,659",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Geetbets","1,288",Organisatie,,,,,,,,,,,,,,,,,,Https://nl.wikipedia.org/wiki/Geetbets,,,,,,,,,,
"Gemeente Herent","1,669",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Ingelmunster","1,677",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Kampenhout","1,664",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Lubbeek","1,662",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Oostkamp","1,714",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Pelt","1,655",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Pepingen","1,667",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Puurs-Sint-Amands","1,671",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Tremelo","1,679",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente Zaventem","1,718",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeente zonder gemeentehuis","1,196",Initiatief,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gemeentelijk sensornetwerk voor luchtkwaliteitsmetingen - Kampenhout","1,665",Initiatief,,,,,,,,,"Gemeente Kampenhout",,,,,,,,,,,,,,,,,,,
GeoJSON,322,Standaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoNovum,"1,136",Organisatie,,,,,,,,,,,,,,,,,,Https://www.geonovum.nl/,,,,,,,,,,
GeoRSS,297,Standaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography Markup Language (GML)",312,Standaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gothenburg - Digital Tvilling","1,137",Organisatie,,,,,,,,,,,,,,,,,,Https://www.esri.com/arcgis-blog/products/city-engine/3d-gis/gothenburg-is-twinning/,,,,,,,,,,
Governance,245,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph-database,453,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2020,"1,089",Initiatief,,,,,,,,,,,,,,,,,,Https://ec.europa.eu/programmes/horizon2020/en/home,,,,,,,,,,
HPAdmin,756,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPBuurt,767,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPGebruiksStats,759,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPIdentificatie,755,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPLayout,780,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPLokaal,768,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPRegionaal,766,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPServices,757,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPStatus,758,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPType,754,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Het potentieel van urban mining voor de bouwsector","1,244",VlocaTraject,,Traject,CoT.2021.010,2022,,,,,"Stad Oostende",,,Lopend,"Smart Environment",,,"City of Things 2021,Het potentieel van urban mining voor de bouwsector – Oostende",,,,,,,,,,,,
"Het potentieel van urban mining voor de bouwsector – Oostende","1,705",Initiatief,,,,,,,,,"Stad Oostende",,,,,,,"City of Things 2021",,,,,,,,,,,,
"Hoe bijdragen",240,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Hoe deel ik mijn data","1,012",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Draaiboek:Hoe het Digital Product Paspoort gebruiken","1,507",Draaiboek,,,,,,,,,VITO,,,,,,,,,,"VlocaTraject:Circulaire economie",,,,,,,,,
"Draaiboek:Hoe houden we gestructureerd data bij","1,009",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Draaiboek:Hoe kan je gemiste “repair opportunities” in kaart brengen en reduceren?","1,515",Draaiboek,,,,,,,,,VITO,,,,,,,,,,"VlocaTraject:Circulaire economie",,,,,,,,,
"VlocaTraject talk:Hoe kies ik de geschikte datatransmissie en logging device",605,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Hoe kies ik de geschikte datatransmissie en logging device","1,013",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Draaiboek:Hoe kies ik een geschikte sensor","1,014",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Draaiboek:Hoe kunnen we repair cafés en herstel in het algemeen ondersteunen en zo de kans op succesvol herstel vergroten","1,527",Draaiboek,,,,,,,,Overheden,VITO,,,,,,,,,,"VlocaTraject:Circulaire economie",,,,,,,,,
"Draaiboek:Hoeveel en waar sensoren plaatsen","1,015",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Draaiboek:Hoppin Punt My Bike Service","1,077",Draaiboek,,,,,,,,Overheden,IMEC,,,,"Smart Mobility",,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten",,,,,,,,,
"Draaiboek:Hoppin Punt Service Informatie Model","1,068",Draaiboek,,,,,,,,,,,,,"Smart Mobility",,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten",,,,,,,,,
"Hoppin Punt informatie model",743,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoppin informatie architectuur",742,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoppin punten",730,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Hoppin scenario - Nieuw Hoppin' punt","1,071",Draaiboek,,,,,,,,,IMEC,,,,"Smart Mobility",,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten",,,,,,,,,
"Draaiboek:Hoppin scenario - een mobiliteitsdienst toevoegen aan een Hoppinpunt","1,076",Draaiboek,,,,,,,,Overheden,IMEC,,,,"Smart Mobility",,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten",,,,,,,,,
"Draaiboek:Hoppin scenario - subsidies aanvragen","1,072",Draaiboek,,,,,,,,Overheden,IMEC,,,,"Smart Mobility",,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten",,,,,,,,,
"VlocaSessie:Hoppinpunten - Digitale Architectuur ten behoeve van Reizigers , Service providers en Overheden","1,154",VlocaSessie,,,,,,,,,,,,,,,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten",Andere,,,,,,,,
"VlocaSessie:Hoppinpunten Workshop 0: Kennismaking",986,VlocaSessie,,,,,,,,,,,,,,,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten",Andere,,,,,"10 December 2020",,,
"VlocaSessie:Hoppinpunten Workshop 1: Behoeftes & doelstellingen",987,VlocaSessie,,,,,,,,,,,,,,,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten","Data en informatie werkgroep",,,,,"11 February 2021",,,
"VlocaSessie:Hoppinpunten Workshop 2: Data",988,VlocaSessie,,,,,,,,,,,,,,,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten","Data en informatie werkgroep",,,,,"11 March 2021",,,
"VlocaSessie:Hoppinpunten Workshop 3: Details",989,VlocaSessie,,,,,,,,,,,,,,,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten","Data en informatie werkgroep",,,,,"6 May 2021",,,
"CoCreatieAanvraag:Hydrologisch meetnet provincie Antwerpen","1,049",CoCreatieAanvraag,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"VlocaTraject:Hydrologisch meetnet provincie Antwerpen","1,266",VlocaTraject,,Ondersteuning,,,,,,,"Provincie Antwerpen",,,,"Smart Environment",,,,,,,,,,,,,,,
Hydroscan,"1,156",Organisatie,,,,,,,,,,,,,,,,,,Https://www.hydroscan.eu/nl/over-hydroscan/,,,,,,,,,,
"Hydrostatische meting",593,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArchitectuurComponent:IAM service",973,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT,234,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDSA,278,Organisatie,,,,,,,,,,,,,,,,,,Https://internationaldataspaces.org/,,,,,,,,,,
IMEC,519,Organisatie,,,,,,,,,,,,,,,,,,Https://www.imec.be/nl,,,,,,,,,,
IMKL,557,Standaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSPIRE,289,Organisatie,,,,,,,,,,,,,,,,,,Https://inspire.ec.europa.eu/,,,,,,,,,,
INSPIRE-data-standaard,558,Standaard,,,,,,,,,,,,,"Smart Environment",,,,,,,,,,,,,,,
"INVEST – POM West-Vlaanderen","1,694",Initiatief,,,,,,,,,"Provincie West-Vlaanderen",,,,,,,,,,,,,,,,,,,
IOK,"1,732",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ISA²: Interoperability solutions for public administrations, businesses and citizens",283,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Ik wil begrijpen of de data waar ik mee aan de slag ben/zal gaan voldoet aan de FAIR principes.","1,198",Draaiboek,,,,,,,,Overheden,IMEC,,,,"Smart Governance",,,,,,"VlocaTraject:Local Digital Twin",,,,,,,,,
"Draaiboek:Ik wil bemalingswaterdebieten in real time volgen",991,Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"File:Ik wil bemalingswaterdebieten in real time volgen image.jpg","1,170","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Ik wil data van een watersensornetwerk gebruiken (data broker vraagzijde)","1,010",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Draaiboek:Ik wil de bijdrage van reparatie aan de circulaire economie kunnen meten","1,508",Draaiboek,,,,,,,,,VITO,,,,,,,,,,"VlocaTraject:Circulaire economie",,,,,,,,,
"Draaiboek:Ik wil de data van een watersensornetwerk beheren","1,005",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"VlocaTraject talk:Ik wil een bufferbekken optimaal inzetten voor de droogteproblematiek",783,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Ik wil een bufferbekken optimaal inzetten voor de droogteproblematiek","1,001",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"File:Ik wil een bufferbekken optimaal inzetten voor de droogteproblematiek image.jpg","1,166","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Ik wil een data standaard kiezen","1,036",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Draaiboek:Ik wil een netwerk van pluviometers implementeren","1,003",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"File:Ik wil een netwerk van pluviometers implementeren image.jpg","1,168","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Ik wil een watersensornetwerk implementeren",998,Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Draaiboek:Ik wil gerichte campagnes rond repair cafés lanceren","1,521",Draaiboek,,,,,,,,,VITO,,,,,,,,,,"VlocaTraject:Circulaire economie",,,,,,,,,
"Draaiboek:Ik wil illegale lozingen detecteren","1,004",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"File:Ik wil illegale lozingen detecteren image.jpg","1,172","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Ik wil kunnen meten hoeveel CO2 er vermeden is doordat burger kapotte toestellen hersteld hebben","1,513",Draaiboek,,,,,,,,,VITO,,,,,,,,,,"VlocaTraject:Circulaire economie",,,,,,,,,
"Draaiboek:Ik wil real-time waterkwaliteitsparameters communiceren",999,Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"File:Ik wil real-time waterkwaliteitsparameters communiceren image.jpg","1,176","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Ik wil waak- en alarmpeilen detecteren","1,002",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"File:Ik wil waak- en alarmpeilen detecteren image.jpg","1,167","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Ik wil wateroverlast kunnen voorspellen","1,000",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"File:Ik wil wateroverlast kunnen voorspellen image.jpg","1,165","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Ik wil weten wat de impact van repair cafés/digitale tools is op elektrisch & elektronisch afval","1,519",Draaiboek,,,,,,,,,VITO,,,,,,,,,,"VlocaTraject:Circulaire economie",,,,,,,,,
"Indian Urban Data Exchange (IUDX)",324,Organisatie,,,,,,,,,,,,,,,,,,Https://iudx.org.in/,,,,,,,,,,
ArchitectuurComponent:InfluxDB,974,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informatie-architectuur,708,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliverable:Informatienoden,"1,391",Deliverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrastructure,"1,106",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CoCreatieAanvraag:Internet of Water","1,050",CoCreatieAanvraag,,,,,,,,,VITO,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"VlocaTraject:Internet of Water","1,265",VlocaTraject,,Ondersteuning,,,,,,,,,,,"Smart Government,Smart Environment",,,,,,,,,,,,,,,
Interoperabiliteit,249,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Interoperable Europe","1,214",Initiatief,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IoT,224,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArchitectuurComponent:IoT agent","1,044",ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IoT gestuurde mobipunten – Aalst (mobiliteit)","1,684",Initiatief,,,,,,,,,Aalst,,,,,,,,,,,,,,,,,,,
"CoCreatieAanvraag:Iot-gestuurde mobipunten","1,051",CoCreatieAanvraag,,,,,,,,,,,,,"Smart Mobility",,,,,,"VlocaTraject:Combimobiliteit- Hoppin punten",,,,,,,,,
"VlocaTraject:Iot-gestuurde mobipunten","1,264",VlocaTraject,,Ondersteuning,,,,,,,,,,,"Smart Mobility",,,,,,,,,,,,,,,
JSON-LD,725,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Japan Cross-Ministerial IPP",437,Organisatie,,,,,,,,,,,,,,,,,,Https://www8.cao.go.jp/cstp/stmain/20200318siparchitecture.html,,,,,,,,,,
"Kenniscentrum Vlaamse Steden","1,590",Organisatie,,,,,,,,,,,,,,,,,,Http://www.kenniscentrumvlaamsesteden.be/Paginas/home.aspx,,,,,,,,,,
"Draaiboek:Keuze van database","1,073",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"Knowledge graph",264,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject talk:Koppeling IoT-peilsensordata naar andere IoT- stacks",346,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Koppeling IoT-peilsensordata naar andere IoT- stacks","1,263",VlocaTraject,,Ondersteuning,,,,,,,"IMEC,VITO,VMM",,,,"Smart Environment",,,,,,,,,,,,,,,
"CoCreatieAanvraag:Koppeling IoT-peilsensordata naar andere IoT- stacks","1,048",CoCreatieAanvraag,,,,,,,,,VMM,,,,"Smart Environment",,,,,,,,,,,,,,,
LDES,705,Standaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LUCA school of Arts","1,175",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Leefomgeving- Water in de Stad",992,VlocaTraject,,Traject,,"2020,2021",,,,,"ABB,VITO",,,"In co-creatie","Smart Environment",,,,,,,,,,,,,,,
"File:Leefomgeving- Water in de Stad image.png","1,179","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy,461,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linked open data",440,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living-in.eu,485,Initiatief,,,,,,,,,,,,,,,,,,Http://living-in.eu/,,,,,,,,,,
LoRaWAN,607,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Local Digital Twin","1,112",VlocaTraject,,Traject,,2022,,,,Overheden,"ABB,IMEC",,,"In co-creatie","Smart Government",,,"DUET,Living-in.eu,Open Data Institute",,,,,,,,,,,,
"VlocaSessie:Local Digital Twin Workshop 1: Gedeeld referentiekader","1,020",VlocaSessie,,,,,,,,Overheden,"ABB,IMEC",,,,,,,,,,"VlocaTraject:Local Digital Twin","Business werkgroep",,,,,"17 February 2022",,,
"VlocaSessie:Local Digital Twin Workshop 2: Structuur en beheer van data","1,021",VlocaSessie,,,,,,,,Overheden,"ABB,IMEC",,,,,,,,,,"VlocaTraject:Local Digital Twin","Data en informatie werkgroep",,,,,"17 March 2022",,,
"VlocaSessie:Local Digital Twin Workshop 3: Simulaties op basis van modelering","1,022",VlocaSessie,,,,,,,,Overheden,"ABB,IMEC",,,,,,,,,,"VlocaTraject:Local Digital Twin","Functionele werkgroep",,,,,"21 April 2022",,,
"LocusFocus – POM Vlaams-Brabant","1,698",Initiatief,,,,,,,,,"Provincie Vlaams-Brabant",,,,,,,,,,,,,,,,,,,
"Lokaal 3D Project – Provincie Oost-Vlaanderen","1,688",Initiatief,,,,,,,,,"Provincie Oost-Vlaanderen",,,,,,,,,,,,,,,,,,,
"VlocaTraject:Lokaal digitaal ondernemingsloket","1,274",VlocaTraject,,Traject,,2022,,,,,Mechelen,,,"In opstart","Smart Government",,,"Gemeente zonder gemeentehuis",,,,,,,,,,,,
"VlocaTraject:Lokale Open Data Economie (LODE)","1,237",VlocaTraject,,Traject,CoT.2021.001,2022,,,,,"Stad Brugge",,,Lopend,"Smart Economy",,,"City of Things 2021",,Https://www.brugge.be/brugge-en-gent-project-lode,,,,,,,,,,
"Lokale Open Data Economie (LODE) – Brugge","1,699",Initiatief,,,,,,,,,"Stad Brugge",,,,,,,"City of Things 2021",,,,,,,,,,,,
Luchtkwaliteitsmodellen,"1,207",TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luxembourg Institute of Science and Technology","1,134",Organisatie,,,,,,,,,,,,,,,,,,Https://www.list.lu/,,,,,,,,,,
MOW,501,Organisatie,,,,,,,,,,,,,,,,,,Https://www.vlaanderen.be/departement-mobiliteit-en-openbare-werken,,,,,,,,,,
"MaaS Afsprakenkader",715,Organisatie,,,,,,,,,,,,,,,,,,Https://maasafsprakenkader.vlaanderen.be/,,,,,,,,,,
"MaaS Alliance",731,Organisatie,,,,,,,,,,,,,,,,,,Https://maas-alliance.eu/,,,,,,,,,,
"MaaS Operator",729,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Maatgerichte implementatie van een document management systeem","1,283",VlocaTraject,,Traject,,2022,,,,,"Stad Gent",,,Geregistreerd,"Smart Government",,,"Gemeente zonder gemeentehuis",,,,,,,,,,,,
"VlocaTraject:Machine Learning as a Service (MLaaS)","1,238",VlocaTraject,,Traject,CoT.2021.006,2022,,,,,"Stad Roeselare",,,Lopend,"Smart Government,Smart Environment",,,"City of Things 2021",,,,,,,,,,,,
"Machine Learning as a Service (MLaaS) – Roeselare","1,703",Initiatief,,,,,,,,,"Stad Roeselare",,,,,,,"City of Things 2021",,,,,,,,,,,,
"Machine readable",556,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deliverable:Marktanalyse,"1,392",Deliverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marktplaats Smart City - Bonheiden","1,647",Initiatief,,,,,,,,,"Stad Bonheiden",,,,,,,,,,,,,,,,,,,
"ArchitectuurComponent:Message buffer",975,ArchitectuurComponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,716,TermenConcepten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draaiboek:Meting van het waterpeil","1,074",Draaiboek,,,,,,,,,,,,,"Smart Environment",,,,,,"VlocaTraject:Leefomgeving- Water in de Stad",,,,,,,,,
"MoDi:2B - Mobiliteit als een dienst aan burgers via derde-betalersystemen - Leuven","1,654",Initiatief,,,,,,,,,"Stad Leuven",,,,,,,,,,,,,,,,,,,
"VlocaTraject:Mobiele Sensor Units","1,239",VlocaTraject,,Traject,CoT.2021.005,2022,,,,,"Stad Roeselare",,,Lopend,"Smart Government",,,"City of Things 2021",,,,,,,,,,,,
"Mobiele Sensor Units – Roeselare","1,702",Initiatief,,,,,,,,,"Stad Roeselare",,,,,,,"City of Things 2021",,,,,,,,,,,,
"Mobiliteit en Parkeren Antwerpen","1,710",Organisatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VlocaTraject:Mobiliteitsbudget voor burgers","1,766",VlocaTraject,,Traject,CoT.2021.012,"2022,2023",,,,Overheden,"Stad Hasselt,Stad Leuven",,,Lopend,"Smart Mobility",,,"City of Things 2021,Mobiliteitsbudget voor burgers – Hasselt",,,,,,,,,,,,
"File:Mobiliteitsbudget voor burgers image.svg","1,767","Page Image",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobiliteitsbudget voor burgers – Hasselt","1,770",Initiatief,,,,,,,,,"Stad Hasselt,Stad Leuven",,,,"Smart Mobility",,,,,,,,,,,,,,,
Mobiliteitscentrale,727,Organisatie,,,,,,,,,,,,,,,,,,Https://www.vlaanderen.be/basisbereikbaarheid/combimobiliteit/mobiliteitscentrale,,,,,,,,,,
